,line_item_name,line_item_description,canonical_vendor_name,canonical_line_item_name
0,Management Services,May 2019 Services,10 Minute Ventures,Management Services
1,Acrobat Pro DC,,Adobe,Acrobat Pro DC
2,"AIEX 96 Pieces Adhesive Poster Tacky Putty Sticky Non-Toxic Mounting Putty Reusable & Removable Wall Safe Tack Putty for Hanging Pictures and Museum,",,Amazon Business,"AIEX 96 Pieces Adhesive Poster Tacky Putty Sticky Non-Toxic Mounting Putty Reusable & Removable Wall Safe Tack Putty for Hanging Pictures and Museum,"
3,AmazonBasics AAA 1.5 Volt Performance Alkaline Batteries - Pack of 36,,Amazon Business,AmazonBasics AAA 1.5 Volt Performance Alkaline Batteries - Pack of 36
4,AmazonBasics Mesh Trash Can Waste Basket,1,Amazon Business,AmazonBasics Mesh Trash Can Waste Basket
5,"AmazonFresh Mediterranean Extra Virgin Olive Oil, 68 Fl Oz (2L)",B01N3LCEDL,Amazon Business,"AmazonFresh Mediterranean Extra Virgin Olive Oil, 68 Fl Oz (2L)"
6,Apple 87W USB-C Power Adapter (for MacBook Pro),,Amazon Business,Apple 87W USB-C Power Adapter (for MacBook Pro)
7,"Apple iPad 2 MC979LL/A 2nd Generation Tablet (16GB, Wifi, White) (Renewed)",,Amazon Business,"Apple iPad with Retina Display MD511LL/A (32GB, Wi-Fi, Black) 4th Generation (Renewed)"
8,Apple iPad with Retina Display,"MD513LL/A (16GB, Wi-Fi, White) 4th Generation (Renewed)",Amazon Business,Apple iPad with Retina Display
9,"Apple iPad with Retina Display MD511LL/A (32GB, Wi-Fi, Black) 4th Generation (Renewed)",,Amazon Business,"Apple iPad with Retina Display MD511LL/A (32GB, Wi-Fi, Black) 4th Generation (Renewed)"
10,Assurant B2B 4YR Kitchen Protection Plan with Accidental Damage $50-74,,Amazon Business,Assurant B2B 4YR Kitchen Protection Plan with Accidental Damage $50-74
11,"Bose QuietComfort 35 (Series I) Wireless Headphones, Noise Cancelling - Black",,Amazon Business,"Bose QuietComfort 35 (Series I) Wireless Headphones, Noise Cancelling - Black"
12,"Calculator,Vilcome 12-Digit Solar Battery Office Calculator with Large LCD Display Big Sensitive Button, Dual Power Desktop Calculators (Black)","Calculator,Vilcome 12-Digit Solar Battery Office Calculator with Large LCD Display Big Sensitive Button, Dual Power Desktop Calculators (Black)",Amazon Business,"Calculator,Vilcome 12-Digit Solar Battery Office Calculator with Large LCD Display Big Sensitive Button, Dual Power Desktop Calculators (Black)"
13,Dell 130-WATT 3-Prong AC Adapter with 6 FT Power Cord,,Amazon Business,Dell 130-WATT 3-Prong AC Adapter with 6 FT Power Cord
14,Logitech K400 Plus Wireless Touch TV Keyboard with Easy Media Control and Built-In Touchpad,,Amazon Business,Logitech K400 Plus Wireless Touch TV Keyboard with Easy Media Control and Built-In Touchpad
15,Microsoft Natural Ergonomic Keyboard 4000 for Business - Wired,,Amazon Business,Microsoft Natural Ergonomic Keyboard 4000 for Business - Wired
16,Mouthwash Dispenser Mini (White) - For GotFreshBreath Alcohol-free Mouthwash,,Amazon Business,Mouthwash Dispenser Mini (White) - For GotFreshBreath Alcohol-free Mouthwash
17,"Mrs. Meyer's Clean Day Hand Lotion, 12 oz (Pack - 1, Basil)",,Amazon Business,"Mrs. Meyer's Clean Day Hand Lotion, 12 oz (Pack - 1, Basil)"
18,Nespresso Espresso Disposable Paper Cups (100ml) - 50 Pcs,,Amazon Business,Nespresso Espresso Disposable Paper Cups (100ml) - 50 Pcs
